"OTUid","Taxon","WHYD200716229_A","ZXL0117_JX","LWM0133_JX","WHYD200513799_A","WHYD200513798_A","CGH0116_C2D1","JFQ0138_JX","SJH0128_JX","YZY0112_C2D15","HM0120_JX","YZR0106_C4","SLM0122_JX","HAH0115_JX","CWZ0121_PD","PXX0136_JX","LMS0134_JX","FMS0129_JX","LGZ0123_JX","WHYD200513772_A","WHYD200716254_A","WHYD200513822_A","WHYD200716230_A","WHYD200513577_A","DGN16SuooMAaA_3_115","WHYD200513786_A","WHYD200513795_A","DGN16SuooMAaA_2_113","WHYD200513812_A","DGN16SuooMAaA_1_115","DGN16SuooMAaA_1_112","DGN16SuooMAaA_2_115","WHYD200513802_A","DGN16SuooMAaA_7_115","DGN16SxfsMAaA_18_115","GXJ0103_C6","FW0124_JX","ZJD0111_C4uiPD","DGN16SxfsMAaA_12_122","YMS0125_JX","DGN16SxfsMCaB_20_109","DGN16SxfsMCaB_19_109","SZL0119_JX","GXJ0103_C8D15","DGN16SxfsMAaA_13_114","DGN16SuooMAaA_4_115","WHYD200513797_A","DGN16SuooMAaA_9_116","DGN16SuooMAaA_2_116","WHYD200716245_A","DGN16SuooMAaA_1_113","WHYD200513785_A","DGN16SuooMAaA_1_116","WHYD200513784_A","WHYD200513815_A","WHYD200513783_A","DGN16SuooMAaA_9_112","DGN16SuooMAaA_7_113","WHYD200513765_A","YGF0137_JX","ZJD0111_JX","FQT0113_JX","FQT0113_C2D15","WHYD200513791_A","DGN16SxfsMAaA_17_112","CGH0116_JX","TWH0126_JX","DGN16SxfsMCaB_21_109","WHYD200513792_A","DGN16SxfsMAaA_12_117","HSR0114_JX","CWZ0121_JX","GZL0140_JX","Rego015","Rego006","WHYD200513800_A","WHYD200513773_A","WY0132_JX","WHYD200513766_A","DGN16SuooMAaA_3_120","DGN16SxfsMAaA_16_119","Rego042","LJK0127_JX","Rego045","DGN16SuooMAaA_4_112","Rego023","Rego020","Rego025","Rego010","Rego083","DGN16SuooMAaA_8_115","WHYD20082037_A","Rego046","Rego071","WHYD20082062_A","CKH0135_JX","Rego061","DGN16SuooMAaA_5_116","DGN16SxfsMCaB_22_109","Rego019","Rego016","Rego069","Rego049","Rego030","Rego035","Rego032","Rego064","Rego054","Rego041","Rego063","YZR0106_C2","WHYD200513813_A"
"OTU1122","p__Firmicutes|c__Clostridia|o__Christensenellales|f__Christensenellaceae|g__Christensenellaceae_R-7_group|s__uncultured_prokaryote_g__Christensenellaceae_R-7_group",0,63,25,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,113,0,0,0,0,4,0,55,0,3,24,43,0,25,0,0,0,0,78,100,0,0,1,2,0,0,0,1,0,4,47,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU1136","p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia|s__unclassified_g__Blautia",217,2,5,65,6,0,0,6,0,0,54,0,79,0,5,35,5,10,58,48,2,77,151,25,162,1024,1,40,0,20,1,95,0,0,1,2,2,0,7,3,0,0,1,3,0,10,3,11,0,1,89,4,120,8,32,1,1,20,0,1,0,2,11,64,1,4,14,0,7,1,3,0,0,0,0,3,11,11,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
"OTU1150","p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnoclostridium|s__unclassified_g__Lachnoclostridium",0,0,8,3,0,0,91,24,49,98,62,40,2,9,24,94,5,2,1,0,0,0,29,0,2,0,0,0,0,0,0,0,0,0,0,3,10,0,54,169,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,53,102,57,19,7,218,1,25,76,18,46,14,7,208,0,0,50,0,68,3,0,83,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1155","p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_periodonticum",20,0,0,7,1,0,1,1,21,1,4,2,0,20,0,11,0,0,0,34,2,121,17,50,1,0,258,0,650,333,243,0,119,0,2,7,0,0,0,1,1,0,1,0,239,1,237,113,0,471,0,376,2,2,0,281,1387,1,3,2,10,0,0,2,0,4,1,10,1,0,3,7,1322,790,116,40,6,1,190,1,268,0,363,393,214,1090,586,739,458,395,213,416,726,214,0,703,899,1,378,293,1394,154,794,276,410,185,334,3,260,2,1
"OTU1162","p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__unclassified_g__Bacteroides",8,12,3,4,0,7,0,163,55,97,0,0,0,232,298,32,433,1,303,1,0,74,0,0,1,0,0,23,0,0,0,0,0,0,3,26,5,1,2,0,6,190,25,37,0,11,0,0,38,0,0,0,3,0,1,0,0,0,183,0,0,2,232,277,36,1,34,99,45,34,228,155,0,0,0,0,4,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1182","p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__uncultured_bacterium_g__Phascolarctobacterium",0,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1235","p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Eubacterium_coprostanoligenes_group|g__norank_f__Eubacterium_coprostanoligenes_group|s__uncultured_organism_g__norank_f__Eubacterium_coprostanoligenes_group",32,4,0,8,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,173,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,450,0,0,0,0,15,0,1,0,0,25,1,27,0,0,0,0,0,0,0,0,1,0,0,43,0,0,0,28,0,0,0,0,0,0,0,0,0,0,132,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1242","p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Cetobacterium|s__uncultured_bacterium_g__Cetobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3372,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1272","p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__unclassified_g__Enterobacter",10,0,0,0,4,0,41,69,0,1,1,1,91,16,43,972,1,13,140,270,0,0,540,0,0,321,0,2,0,1,0,0,0,7,52,2,26,0,1,4,14,0,3,0,0,5,0,2,1,0,0,2,17,3,1,0,0,0,0,20,1,52,5,0,2,0,0,0,0,0,0,0,0,0,25,0,49,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,30,0,2,7,0,0,0,0,0,0,0,0,0,0,0,21,128
"OTU1291","p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_faecium",1,0,1,12,0,27,0,116,97,179,0,91,5,63,0,46,0,51,2,9,0,7,6,0,0,0,0,10,0,0,0,0,0,6,0,4,0,0,24,0,0,0,1,27,0,22,1,0,0,0,16,0,8,0,0,0,0,0,81,0,0,28,19,0,4,3,156,12,439,144,38,0,0,0,1,0,31,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1295","p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Eubacterium_coprostanoligenes_group|g__norank_f__Eubacterium_coprostanoligenes_group|s__uncultured_organism_g__norank_f__Eubacterium_coprostanoligenes_group",0,0,1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,2183,0,0,0,0,3,0,8,0,324,22,282,0,4146,0,0,0,0,402,2234,0,0,0,0,0,0,0,0,0,0,66,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13377,0,0,0,793,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1297","p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__unclassified_g__Parabacteroides",5,1,0,5,0,4,0,3,36,13,0,1,6,26,0,97,3,0,1,3,0,3,0,0,2,0,0,14,0,0,0,15,0,0,2,0,0,0,6,0,1,88,1,1,0,21,0,0,1,0,9,0,0,0,2,0,0,0,1,0,0,0,0,0,6,0,115,6,232,15,5,0,0,0,47,1,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1303","p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__UCG-005|s__unclassified_g__UCG-005",0,59,2,0,0,1,0,83,0,0,0,0,0,0,0,281,0,33,0,0,0,0,0,3,97,1,0,0,0,0,0,115,0,29,86,22,3984,25,38,0,295,0,135,126,0,8,0,2,62,0,5,0,0,4,43,1,0,17,0,0,0,0,16,0,5,0,0,0,82,22,0,0,0,0,0,0,0,20,0,0,0,69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1304","p__Firmicutes|c__Negativicutes|o__Veillonellales-Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__uncultured_organism_g__Megamonas",0,0,6,0,97,1703,0,0,0,0,0,0,0,1643,310,0,1329,0,885,0,312,5919,0,32,1,0,0,5928,0,39,2,0,0,0,26,0,0,1,0,2,1,76,18,4,9,1519,6,6,1,1,4868,10,3927,87,4,2,1,44,1158,0,1,0,0,0,1259,0,0,0,0,0,6294,0,0,0,821,685,0,1,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1306","p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_faecium",70,0,2,475,1,90,0,756,1028,1549,0,662,47,540,0,285,9,408,362,580,2,871,194,4,0,0,2,1781,0,17,0,0,0,13,0,29,2,2,437,0,0,0,32,107,3,1249,2,12,0,3,516,4,277,1,1,0,0,3,2570,0,0,218,392,0,42,47,1662,764,5114,1101,637,0,0,0,37,175,321,123,0,3913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1
"OTU1310","p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__unclassified_g__Fusobacterium",0,1,3,3,1,0,0,0,3319,64,0,3,2,2529,0,28,1,29,0,7,0,5,0,36,1,0,0,0,0,37,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,0,10,0,0,0,0,1,6830,0,1,0,2,15,695,0,0,0,0,0,0,2,29,0,0,1,239,0,0,0,1704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1313","p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Marinifilaceae|g__Odoribacter|s__Odoribacter_sp._Marseille-P2698",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1314","p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__Colidextribacter|s__unclassified_g__Colidextribacter",0,0,22,0,0,1,0,20,0,0,0,0,0,0,0,83,30,0,32,0,0,0,0,3,27,187,0,6,0,0,1,29,0,1,1,3,418,2,0,0,1,0,3,3,0,3,0,1,0,0,0,0,0,12,5,0,0,10,0,104,0,0,1,0,3,5,11,0,0,4,0,0,0,0,0,0,1,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1348","p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Eubacterium_siraeum_group|s__Eubacterium_siraeum_DSM_15702",0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,286,0,0,0,0,0,0,17,0,2,0,4,215,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,70,3,0,0,575,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1355","p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Oribacterium|s__uncultured_organism_g__Oribacterium",0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,10,0,8,17,18,0,34,0,0,0,0,0,0,0,0,0,0,1,16,0,8,16,0,13,0,7,0,0,0,33,9,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,468,76,0,1,0,0,2,0,49,0,46,5,22,51,39,80,69,3,2,48,2871,18,0,102,16,0,81,61,40,3,55,37,61,33,100,0,25,0,1
"OTU1356","p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Eubacterium_hallii_group|s__unclassified_g__Eubacterium_hallii_group",1,17,6,33,2,38,71,36,0,0,0,0,121,0,0,0,0,14,0,9,7,0,26,15,61,0,0,72,0,5,0,71,0,34,51,39,0,28,52,0,14,23,16,119,0,32,1,14,0,0,143,4,70,0,18,0,1,4,0,0,0,0,0,0,31,0,0,0,110,43,0,0,0,0,340,0,0,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1360","p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospira|s__uncultured_bacterium_g__Lachnospira",216,676,8,14,100,6837,0,263,0,0,0,185,6,3419,87,114,0,1235,909,127,133,1,54,34,662,0,3,4921,1,32,2,34,0,0,41,5,5,48,77,10,3,5297,0,4,15,1641,3,18,96,0,811,7,6184,158,243,4,0,186,22,729,0,0,115,61,1618,0,4408,0,0,13,2854,275,0,0,0,1111,10,11,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1388","p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Subdoligranulum|s__uncultured_bacterium_g__Subdoligranulum",24,50,24,49,528,170,3811,622,0,1,0,0,1077,0,1,0,3,1427,10,53,122,520,0,19,445,0,0,240,0,33,0,273,0,164,53,81,1,303,20,0,490,69,440,92,2,520,0,17,306,1,909,1,314,771,135,0,1,237,0,1,1,0,0,0,1953,0,0,0,2087,632,1,0,0,0,0,0,1,6815,0,449,0,705,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1392","p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Ruminococcus_gnavus_group|s__unclassified_g__Ruminococcus_gnavus_group",19,0,0,7,0,0,4,0,1,64,61,0,9,10,1,0,1,0,22,64,0,29,266,2,1,362,0,1,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,1,1,2,0,1,3,0,20,0,0,0,0,0,0,7,26,37,45,0,0,5,18,50,0,2,14,6,0,0,3525,1,12,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,545,0,0,0,0,0,0,0,0,0,0,0,0,4
"OTU1402","p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Eubacterium_coprostanoligenes_group|g__norank_f__Eubacterium_coprostanoligenes_group|s__unclassified_g__norank_f__Eubacterium_coprostanoligenes_group",0,0,0,0,0,0,0,175,0,0,0,0,1,0,0,4,25,0,0,0,0,0,2893,9,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,119,0,0,0,0,1,0,0,1,0,0,0,0,0,41,0,0,0,195,33,539,0,0,0,159,0,4384,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1410","p__Firmicutes|c__Clostridia|o__Peptostreptococcales-Tissierellales|f__Anaerovoracaceae|g__Eubacterium_nodatum_group|s__unclassified_g__Eubacterium_nodatum_group",0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,425,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,9,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,66,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1430","p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Ruminococcus_torques_group|s__unclassified_g__Ruminococcus_torques_group",2,9,561,2,0,2,3,94,0,15,0,0,0,4,0,1,0,0,0,0,0,0,29,1,4,0,0,0,0,0,0,5,0,25,62,56,2,16,17,0,19,0,124,27,0,0,0,0,0,0,0,1,50,18,4,0,0,5,1,0,0,0,0,0,2,0,0,1,1,19,9,0,0,0,0,1,3,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1433","p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__uncultured_organism_g__Barnesiella",0,214,0,0,0,0,0,213,0,0,0,0,0,0,0,3228,0,0,0,0,0,0,0,8,377,0,0,0,0,6,0,614,0,242,101,47,0,110,0,0,0,0,237,53,2,0,0,0,0,0,0,1,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
