OTU,CGH0116_C2D1,CGH0116_JX,CKH0135_JX,CWZ0121_JX,CWZ0121_PD,DGN16SuooMAaA_1_112,DGN16SuooMAaA_1_113,DGN16SuooMAaA_1_115,DGN16SuooMAaA_1_116,DGN16SuooMAaA_2_113,DGN16SuooMAaA_2_115,DGN16SuooMAaA_2_116,DGN16SuooMAaA_3_115,DGN16SuooMAaA_3_120,DGN16SuooMAaA_4_112,DGN16SuooMAaA_4_115,DGN16SuooMAaA_5_116,DGN16SuooMAaA_7_113,DGN16SuooMAaA_7_115,DGN16SuooMAaA_8_115,DGN16SuooMAaA_9_112,DGN16SuooMAaA_9_116,DGN16SxfsMAaA_12_117,DGN16SxfsMAaA_12_122,DGN16SxfsMAaA_13_114,DGN16SxfsMAaA_16_119,DGN16SxfsMAaA_17_112,DGN16SxfsMAaA_18_115,DGN16SxfsMCaB_19_109,DGN16SxfsMCaB_20_109,DGN16SxfsMCaB_21_109,DGN16SxfsMCaB_22_109,FMS0129_JX,FQT0113_C2D15,FQT0113_JX,FW0124_JX,GXJ0103_C6,GXJ0103_C8D15,GZL0140_JX,HAH0115_JX,HM0120_JX,HSR0114_JX,JFQ0138_JX,LGZ0123_JX,LJK0127_JX,LMS0134_JX,LWM0133_JX,PXX0136_JX,Rego006,Rego010,Rego015,Rego016,Rego019,Rego020,Rego023,Rego025,Rego030,Rego032,Rego035,Rego041,Rego042,Rego045,Rego046,Rego049,Rego054,Rego061,Rego063,Rego064,Rego069,Rego071,Rego083,SJH0128_JX,SLM0122_JX,SZL0119_JX,TWH0126_JX,WHYD200513577_A,WHYD200513765_A,WHYD200513766_A,WHYD200513772_A,WHYD200513773_A,WHYD200513783_A,WHYD200513784_A,WHYD200513785_A,WHYD200513786_A,WHYD200513791_A,WHYD200513792_A,WHYD200513795_A,WHYD200513797_A,WHYD200513798_A,WHYD200513799_A,WHYD200513800_A,WHYD200513802_A,WHYD200513812_A,WHYD200513813_A,WHYD200513815_A,WHYD200513822_A,WHYD200716229_A,WHYD200716230_A,WHYD200716245_A,WHYD200716254_A,WHYD20082037_A,WHYD20082062_A,WY0132_JX,YGF0137_JX,YMS0125_JX,YZR0106_C2,YZR0106_C4,YZY0112_C2D15,ZJD0111_C4uiPD,ZJD0111_JX,ZXL0117_JX
OTU299,0,0,0,0,0,0,21,48,0,25,7,0,0,2,26,12,4,32,1,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,4,1,1,1,0,0,3,0,1,5,4,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0
OTU4790,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,16,0,0,0,0,6,0,0,3,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,1,0,4,4,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,14,1,0,0,6,0,0,0
OTU4739,0,0,0,113,250,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5
OTU5858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2305,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
OTU5285,1,3,0,82,102,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,50,0,0,0,1,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,70,0,0,1,5,465,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,0,0,0,0,42,0,0,0,0,0,0,2
OTU5395,0,32,0,99,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,17,0,0,0,1,0,0,2,0,11,2,0,26,137,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,1,0,3,0,0,0,8,0,248,9,0,14,0,0,0,1,15,0,0,0,0,0,0,1,0,0,45,10,12,0,0,6,5,0,1
OTU3497,0,0,0,0,0,0,0,0,14,0,0,0,0,7,2,32,9,0,5,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,7,0,0,7,0,1,0,0,0,2,0,0,0,0,0,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0
OTU2127,13,52,1,90,70,9,0,0,2,0,0,3,11,0,0,0,0,2,0,0,0,2,11,3,12,8,154,0,4,8,161,0,120,5,122,39,0,11,1070,0,74,17,0,22,0,57,1,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,7,1,0,1,1,413,3,2,1348,172,6,460,31,0,455,4,38,0,14,162,1,0,15,21,1169,85,14,0,0,57,47,15,0,0,61,8,0,3
OTU3675,0,0,0,0,0,0,8,0,1,3,2,2,0,4,1,1,6,13,1,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,7,3,15,8,39,8,2,5,10,14,10,18,7,51,8,13,18,22,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,2,1,0,0,0,1,0,0,0,0,0
OTU1786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,107,0,0,17,0,0,0,0,0,0,0,0,17,30,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,7,0,0,2,0,0,0,0,0,0,0,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,0,4,0,0,0,0,0,0,0,74,2,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,11,0,0,97,0,0,0,0,0,0,0,63,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2790,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,3,69,105,1,5,120,0,0,8,0,0,5,0,6,0,0,0,45,0,9,0,58,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,0,0,220,3,1,12,2,2,0,5,11,57,23,0,11,0,136,0,7,11,0,1,0,10,8,0,9,0,0,91,11,7,0,0,32,21,119,0
OTU5003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,6,0,0,0,1,1,0,2,3,0,3,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,2,0,0,15,0,0,0
OTU1557,1015,25,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,0,83,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,17,75,0,2,0,109,0,181,0,18,0,0,0,0,31,0,0,7,0,0,0,0,2,0,0,0,1,0,0
OTU765,52,42,0,12,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,2,52,3,2,16,1,0,0,30,0,0,9,2,5,0,0,0,39,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21
OTU2151,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,5,14,4,9,0,5,0,0,0,0,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1504,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,25,0,0,1,0,0,0,0,0,5,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
OTU2575,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,0,4,19,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,21,0,1,17,0,0,0,0,0,199,0,0,127,0,0,0,0,72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3769,0,0,0,0,0,56,219,111,132,188,594,30,21,1361,225,282,522,113,371,585,113,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,30,2,3,10,36,31,34,0,23,13,7,1,32,8,20,15,24,7,3,14,19,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,397,0,0,0,0,0,0,0,0,0
OTU2548,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6110,4207,0,0,1823,0,0,0,0,0,0,0,621,217,1415,0,0,0,0,0,2981,0,0,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4262,0,0,0,1166,0,0,593,0,0,0,0,0,0,0,60,0,0,1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU596,0,0,0,0,0,4,4,0,1,1,11,7,0,1,1,7,1,2,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,8,3,8,6,0,2,0,0,0,18,1,3,5,1,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU3489,0,0,0,0,0,1,6,1,0,0,0,1,0,1,0,1,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,29,4,35,3,2,22,10,3,2,22,0,11,16,10,15,23,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0
OTU6420,0,0,0,0,0,2,1,9,1,0,0,1,3,2,17,1,1,6,0,4,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,3,0,0,0
OTU5652,0,0,0,0,0,4,0,2,30,21,31,6,1,0,61,18,134,19,0,17,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,90,5,3,35,59,63,19,16,42,29,1,0,0,0,2,17,26,22,18,58,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,15,0,0,0,0,0,0,0,0,0
OTU48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,2,2,0,0,0,0,0,0,3,1,7,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,28,0,25,0,0,2,0,0,5,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
OTU569,0,0,0,0,0,0,4,20,60,64,203,0,42,43,36,23,46,0,1125,6,368,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,38,224,4676,51,16,79,14,64,73,21,0,19,2,283,0,958,109,150,21,4,1,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,69,45,0,0,0,0,0,0,0,0,0
OTU521,0,0,0,0,0,9,64,17,1,73,23,14,1,58,13,74,69,59,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46,2,1,20,1,174,1,0,25,18,1,0,88,2,11,95,12,7,37,5,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6,0,0,0,0,0,0,0,0,0
OTU5992,0,1,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,2,4,0,1,0,0,4,3,0,0,0,0,0,0,0
OTU1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2812,0,0,0,0,0,0,0,0,0,3,6,0,13,0,3,1,4,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,4,43,28,2,3,14,1,4,11,0,0,2,5,0,3,61,2,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0
OTU6830,370,79,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,7,3,15,9,1,1,2,0,0,0,17,147,0,2,61,15,0,660,1,5,9,12,0,108,5,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,4,1,17,8,7,8,53,2,24,21,0,36,1,5,0,4,48,0,0,4,21,25,1,14,0,0,0,0,19,0,0,0,0,5,254
OTU6150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,2,0,8,0,1,0,0,0,8,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2271,0,0,0,0,0,0,5,0,0,0,2,0,0,0,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,13,4,0,0,0,2,0,30,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU4801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,102,0,0,0,132,0,0,0,0,0,0,33,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0
OTU2993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,1,6,2,3,0,2,0,1,0,5,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU3887,0,0,0,0,0,74,524,73,11,82,12,39,47,75,228,65,101,283,58,70,93,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,3,9,0,11,0,4,21,9,10,5,12,16,14,16,0,3,7,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,44,0,0,0,0,0,0,0,0,0
OTU1702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,7,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,22,0,0,6,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
OTU633,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,5,0,0,0,5,0,3,10,0,0,0,4,0,0,0,10,1,0,32,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5
OTU2346,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,15,18,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21
