Pathway level1,Pathway level2,Pathway level3,Description,WHYD200513786_A,DGN16SxfsMAaA_12_117,SLM0122_JX,DGN16SxfsMCaB_22_109,YGF0137_JX,DGN16SxfsMAaA_12_122,YMS0125_JX,HSR0114_JX,SZL0119_JX,WHYD200513765_A,WHYD200513800_A,WHYD200513773_A,JFQ0138_JX,CKH0135_JX,HM0120_JX,FW0124_JX,PXX0136_JX,LMS0134_JX,FMS0129_JX,LGZ0123_JX,DGN16SxfsMCaB_20_109,ZXL0117_JX,LJK0127_JX,DGN16SxfsMCaB_19_109,WY0132_JX,CGH0116_JX,LWM0133_JX,ZJD0111_JX,FQT0113_JX,CWZ0121_JX,DGN16SxfsMCaB_21_109,WHYD200513766_A
Metabolism,Carbohydrate metabolism,ko00030,Pentose phosphate pathway,739022.24,641289.12,656762.56,1031734.07,854366.26,570444.34,614274.68,614914.06,631255.88,703772.98,1331969.46,733915.05,742082.33,367448.17,709769.54,553827.12,743194.85,585142.53,865589.49,726722.6,1136795.53,505393.34,1445871.55,793382.42,1265428.85,663623.93,653298.67,705109.29,893102.3,1074688.3,609176.17,784928.28
Metabolism,Global and overview maps,ko01210,2-Oxocarboxylic acid metabolism,835618.52,639828.35,695624.66,927691.06,861210.42,719215.13,656056.53,657167.98,747605.17,798031.78,1155961.01,891471.1,672460.41,315242.84,680944.1,421779.74,746037.03,584298.3,805032.34,805783.94,996101.08,552134.68,1240656.34,865312.17,1015923.46,685090.65,732883.84,618005.07,810264.11,948882.56,651900.15,1016072.91
Metabolism,Energy metabolism,ko00680,Methane metabolism,699395.55,604257.94,599229.53,1048279.09,705818.37,514529.3,602566.8,577594.01,607939.07,642046.98,1178009.02,810440.31,667011.18,359474.34,664461.4,535487.55,654632.85,564821.62,631483.54,674918.85,957443.56,469719.34,1533951.93,839961.13,1255932.77,598967.37,587452.36,630436.39,853901.97,1039691.6,579805.18,809283.4
Metabolism,Metabolism of cofactors and vitamins,ko00860,Porphyrin and chlorophyll metabolism,738837.98,654852.84,648464.62,944240.56,1027469.36,648172.17,603928.06,545691.75,610570.98,786731.01,1214671.25,671305.06,669871.07,396113.58,704897.33,722018.03,722109.92,528141.17,957431.13,735261.21,767371.97,493334.75,1154946.31,753348.83,937913.97,660507.84,748124.64,547182.18,754784.97,942542.42,620063.11,548940.53
Genetic Information Processing,Replication and repair,ko03430,Mismatch repair,758933.36,578736.27,626086.45,809753.58,746022.76,647965.03,592966.74,578596.82,673983.83,737895.01,934659.27,874209.43,687867.42,300409.59,590874.14,677117.47,704853.91,529762.1,698390.34,719739.31,908648.87,472015.52,1088672.67,750027.36,893009.04,631903.44,652345.62,538702.68,952241.37,828022.4,561397.15,884658.14
Metabolism,Amino acid metabolism,ko00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",696197.9,582859.5,622843.89,798828.73,880977.79,575822.88,581239.18,592939.56,779201.34,661466.36,979715.58,882934.39,612669.78,282792.98,587019.53,521784.05,716089.73,501359.68,823236.55,689413.02,890166,498183.86,1024244.28,722958.75,831775.59,602166.29,652004.38,519300.18,932747.54,844244.67,615293.48,822169.99
Environmental Information Processing,Membrane transport,ko03070,Bacterial secretion system,614670.95,455570.53,492883.81,1167859.37,668301.09,476611.22,518174.37,434756.5,478350.27,621495.26,648634.32,611989.2,587253.59,393246.54,502346.93,463885.95,539366.37,437303.57,610095.22,568075.07,658069.71,370003.9,1886146.86,850134.55,1301158.67,549320.05,486002.87,455622.81,585720.96,1107082.3,391674.44,747596.05
Metabolism,Carbohydrate metabolism,ko00640,Propanoate metabolism,542692.47,494258.87,477627.98,1055554.83,716650.56,461853.13,454655.83,425225.07,373642.79,525873.34,900517.43,570098.58,547375.74,381671.81,522860.98,466060.18,557808.89,458811.93,704225.07,533301.84,806900.4,334107.51,1595672.16,778508.5,1194802.81,481846.49,450949.07,506093.68,641325.5,1019090.42,410508.95,660731
Metabolism,Carbohydrate metabolism,ko00650,Butanoate metabolism,526002.52,519136.92,432662.73,858514.66,764460.06,451977.48,480551.85,417818.94,514383.21,489603.75,746797.67,729601.61,489965.22,336440.78,519870.31,548531.26,494165.08,450108.8,611965.14,523558.68,662891.07,350481.12,1340185.76,744666.98,1043864.6,440505.44,423644,499433.86,687267.18,883659.98,422247.84,555936.99
Metabolism,Carbohydrate metabolism,ko00020,Citrate cycle (TCA cycle),486591.49,515808.29,397880.39,794299.41,720242.22,436204.89,473739.37,457411.03,545183.54,436408.13,585740.55,797028.95,495709.86,311048.98,518410.78,453423.33,531231.04,442273.79,699492.32,513762.75,764328.25,360897.99,1253259.22,742284.1,981693.29,458262.38,368623.58,506051.27,781138.71,905010.67,443173.56,550656.87
Genetic Information Processing,Replication and repair,ko03030,DNA replication,603671,472641.49,487153.8,665179.05,633869.34,531846.66,482521.33,475657,545835.35,578311.33,707846.35,744988.43,548801.35,242315.1,483499.98,531777.15,568078.23,426950.96,602543.77,579229.99,792769.05,384084.85,896236.03,613967.45,728487.29,508931.22,510028.18,424585.37,755974.19,693779.21,454521.31,692576.02
Genetic Information Processing,"Folding, sorting and degradation",ko03018,RNA degradation,605949.27,477805.48,482292.3,586732.99,574233.91,507265.02,480573.19,483679.68,487472.83,582933.7,736502.12,686200.8,548163.01,207969.57,495959.36,451841.64,538793.46,404973.95,556400.28,572310.78,760895.94,377329.59,785197.32,570083.88,676227.59,518495.46,516868.25,423748.23,689099.51,641347.23,455143.14,663434.3
Metabolism,Amino acid metabolism,ko00300,Lysine biosynthesis,610147.9,461308.78,514640.57,597659.37,599275.77,519945.48,486329.34,456833.58,482018.67,600577.67,865709.56,613168.5,547656.63,216742.28,495174.2,387567.19,530873.2,411578.31,551946.53,568792.93,712422.73,369823.4,736184.11,561266.21,649614.25,511260.66,524407.69,420816.51,620933.77,598880.18,434649.89,768357.47
Metabolism,Metabolism of cofactors and vitamins,ko00770,Pantothenate and CoA biosynthesis,527690.23,431900.27,457523.29,720906.77,596192.55,412136.52,424621.16,441661.66,441475.78,511954.12,766663.66,615526.1,471542.36,239117.47,446175.54,362353.23,499362.18,381786.7,534301.69,512281.18,630942.69,357315.63,1024780.38,651432.15,802527.85,441176.04,475931.04,412360,702789.64,709824.96,418143.09,616130.64
Genetic Information Processing,"Folding, sorting and degradation",ko03060,Protein export,565314.6,459979.41,462144.09,596829.52,653301.95,481663.12,461887.9,436790.18,502341.63,527756.32,669362.39,648720.1,476752.83,216625.55,470224.3,456697.12,498825.67,397408.61,642533.36,536516.23,649712.75,367277.95,825239.54,566932.61,666020.43,483217.03,483647.27,408904.45,614089.19,666203.91,436748.6,674073.09
Metabolism,Energy metabolism,ko00710,Carbon fixation in photosynthetic organisms,505802.27,427512.58,430996.87,624299.22,565726.28,388673.89,430238.44,404535.87,475971.84,460191.76,809278.9,554614.66,491635.71,227976.19,466211.76,422300.38,478011.01,393336.27,539662.47,487710.41,707977.09,345448.82,903765.42,548710.98,775765.32,431001.48,425108.18,442926.14,659269.17,663164.88,403669.46,582337.64
Metabolism,Global and overview maps,ko01212,Fatty acid metabolism,536546.34,454954.37,468508.25,593446.28,491623.34,476433.53,436801.12,422883.51,372814.12,528819.4,680333.59,567362.95,485031.63,210803.4,480412.49,486133.01,468296.16,411332.41,483618.39,521668.63,649440.93,361439.91,859679.1,578573.7,706407.44,461916.07,462479.54,400678.09,597431.9,622759.09,414883.73,653946.16
Metabolism,Metabolism of cofactors and vitamins,ko00670,One carbon pool by folate,477446.28,424211.66,410661.8,484364.92,582760.24,391077.38,418247.59,403752.97,512159.02,448847.89,629425.53,609818.71,442252.53,181141.46,420915.3,422633.63,459487.04,351730.63,567744.91,476613.5,643736.73,325290.51,659418.18,486035.19,571774.05,437620.91,403211.67,387969.41,609077.42,582087.06,406133.13,553378.62
Human Diseases,Drug resistance: antimicrobial,ko01501,beta-Lactam resistance,459557.54,417638.82,384262.09,624717.04,525992.24,303109.41,434139.08,378592.66,375746.2,454164.72,668947.64,581128.01,481782.6,228539.83,459686.67,278923.88,414784.39,353757.07,508056.88,450482.8,624297.17,286704.56,958962.3,544218.6,825750.61,447706.41,372826.88,436079.99,490779.55,678418.82,332535.67,397712.47
Metabolism,Lipid metabolism,ko00061,Fatty acid biosynthesis,500465.42,425127.09,444267.59,458698.28,429683.74,429497.12,414564.3,410817.74,348446.61,497191.14,615720.62,545979.86,460120.38,163066.4,445566.65,422565.6,438471.67,379373.5,454686.12,490878.41,615771.41,332948.73,610224.68,481194.51,543061.6,446715.12,427258.22,365324.59,577305.13,508295.42,394780.78,642206.17
Metabolism,Amino acid metabolism,ko00220,Arginine biosynthesis,462309.38,406159.62,373883.12,637710.62,488673.63,419229.69,375351.04,383319.41,438023.85,411276.1,704154.39,475811.07,342166.01,210136.47,415405.59,311682.65,415813.84,360631.72,462449.07,453753,587821.84,322134.8,886211.52,538474.42,704646.6,370828.29,402807.17,379991.27,378849.03,645030.68,393440.25,523482.17
Metabolism,Lipid metabolism,ko00564,Glycerophospholipid metabolism,455481.9,347672.96,366274.44,748973.23,406609.21,338052.81,340745.97,343782.31,331470.36,421326.19,619826.55,445061.48,421355.34,241933.57,357485.37,381507.83,431475.19,329773.09,380019.99,429872.23,578313.98,282859.18,1138441.54,573781.24,857756.03,372243.04,380864.19,344097.67,485640.1,699038.81,337514.55,482216.53
Metabolism,Metabolism of cofactors and vitamins,ko00730,Thiamine metabolism,465305.87,392042.19,386173.24,535600.57,508586.03,418856.33,374728.79,384272.48,438450.07,442105.69,648018.66,570721.81,386960.31,189519.18,372534.08,440025.26,457877.33,337255.56,478156.01,454052.7,637128.79,323565.63,693869.49,469050.09,567975.16,393210.11,427997.23,349006.82,536830.23,557572.82,408102.45,545632.66
Environmental Information Processing,Membrane transport,ko02060,Phosphotransferase system (PTS),200483.75,184885.53,226930.76,1250918.69,819788.59,143450.61,187756.11,192568.96,121199.49,252790.05,811492.64,193618.41,301619.95,339049.83,244324.78,201809.98,302466.49,219235.02,940700.96,173402.49,384019.37,126784.58,1956705.8,568414.6,1336705.45,256084.34,223397.38,316509.11,272358.95,1135126.78,162178.88,299655.72
Metabolism,Carbohydrate metabolism,ko00040,Pentose and glucuronate interconversions,269989.15,386299.43,320819.6,745747.21,464308.68,224166.73,304018.41,325607.88,263025.62,266638.99,902961.76,369877.84,366693.75,230227.42,420225.35,187850.3,402453.2,313330.97,514039.92,340658.77,767002.69,271443.42,1059522.14,441319.25,938498.87,340330.74,275574.31,488935.75,375697.22,789188.1,381876.54,248328.44
Metabolism,Metabolism of cofactors and vitamins,ko00790,Folate biosynthesis,290754.48,363810.08,271433.31,682352.49,603240.15,199541.65,354310.53,344816.78,518944.39,273446.32,523175.45,637574.79,368120.37,255935.79,367878.23,394456.75,418900.55,312309.14,560962.61,334193.59,568799.08,267958.01,993208.41,512799.32,756228.69,336955.89,270911.84,342502.91,624743.32,729402.9,349152.35,160541.54
Cellular Processes,Cell growth and death,ko04112,Cell cycle - Caulobacter,468079.28,367755.72,378731.95,445079.58,513100.73,377370.01,377081.25,375145.75,429826.81,455481.63,596560.48,538536.15,440133.21,157591.05,400295.85,396119.14,437158.29,324381.38,513277.14,443924.1,615701.9,308846.14,582114.31,432040.62,499612.38,410463.02,403073.6,319405.85,571138.45,510503.59,348449.52,512180.16
Cellular Processes,Cell motility,ko02040,Flagellar assembly,557966.94,150554.09,297389.92,977683.2,175190.5,608731.52,122691.33,314632.74,268686.06,454665.19,395782.37,104575.46,201791.75,284161.51,220893.08,281658.75,549814.75,256600.94,166724.74,482210.94,459680.05,357171.14,1513252.6,749633.44,964122.66,262653.81,435871.5,282150.76,345633.73,726192.1,376789.97,434610.39
Metabolism,Metabolism of terpenoids and polyketides,ko00900,Terpenoid backbone biosynthesis,461512.51,355410.21,375373.56,459508.94,521687.96,406691.73,352811.41,348829.66,428319.78,442640.42,567106.89,503216.48,382096.79,170926.98,366791.79,417615.75,413355.39,319396.02,494998.47,437477.46,522192.73,298976.57,620878.92,457269,500393.12,383766.54,397471.09,313696.04,531327.53,504965.75,353489.39,559404.71
Metabolism,Amino acid metabolism,ko00290,"Valine, leucine and isoleucine biosynthesis",466265.88,334300.79,386357.01,549079.55,446405.55,376085.51,356333.26,347088.85,390594.19,449990.52,634627.75,465501.48,384711.34,183696.49,377682.26,213744.76,406297.02,318358.91,409003.92,439339.94,510455.95,297332.81,752039.77,486084.83,594330.25,376511.11,402963.92,329841.46,482206.69,533948.66,348815.2,552256.64
Metabolism,Metabolism of cofactors and vitamins,ko00760,Nicotinate and nicotinamide metabolism,418180.24,314432.16,348323.11,610865,417598.33,303602.39,332384.06,342868.12,413258.81,370525.08,558500.45,497081.52,383753.09,196894.86,350900.92,350160.94,406489.01,302326.91,412066.9,404438.99,515004.76,276550.9,886010.46,509058.72,689731.92,357064.35,349958.55,326350.64,547774.81,598736.61,324066.55,455739.12
Metabolism,Amino acid metabolism,ko00340,Histidine metabolism,497407.4,392189.7,411894.11,385627.21,477953.45,379668.98,443975.83,377179.24,417541.66,497217.41,518145.25,448314.43,401805.51,144011.64,432218.03,301678.22,399603.55,357914.23,491876.58,473931.06,603820.1,302542.76,484030.41,416684.64,412825.93,456487.48,399610.66,313166.87,309723.07,462923.76,370462.89,608621.61
Metabolism,Glycan biosynthesis and metabolism,ko00540,Lipopolysaccharide biosynthesis,129204.42,326997.09,126564.1,751619.13,691218.99,95627.48,295754.44,221258.29,510318.93,92054.36,187399.11,678219.09,272280.8,304739.23,267408.73,389741.71,313304.09,238934.35,553559.98,196318.56,361620.07,189886.44,1266709,496204.13,902612.07,199552.32,85928.43,303587.26,584195.19,823275.59,259878.99,55340.11
Metabolism,Energy metabolism,ko00910,Nitrogen metabolism,324195.77,310229.33,307720.1,640293.79,342376.59,245183.64,310327.8,289078.43,340255.82,347323.33,469474.85,394688.19,341132.25,224193.36,331978.48,229036.61,363604.73,271720.33,314493.54,335576.85,482783.86,242714.86,921295.63,416210.25,697589.94,322096.92,302884.38,293484.63,394649.69,589887.62,286762.77,374845.08
Cellular Processes,Cellular community - prokaryotes,ko02026,Biofilm formation - Escherichia coli,296956.64,202548.8,238265.35,892172.04,271552.59,234093.1,194676.66,217387.85,198625.1,281749.8,380617.46,271430.07,264794.3,261174.78,226454.2,205650.12,319395.05,232054.54,282663.63,268589.65,386524.71,194030.9,1460631.24,519504.32,954620.83,246536.02,260281.99,226230.54,292416.37,759887.2,227729.95,351876.07
Metabolism,Amino acid metabolism,ko00330,Arginine and proline metabolism,323495.38,308208.32,268522.23,553303.32,436246.29,302037.25,287667.41,266860.98,314984.46,328841.44,410404.88,400482.18,313870.62,195324.09,310160.01,199035.46,319806.57,253139.53,420147.51,326346.57,454025.43,222603.46,827225.33,431120.49,618765.94,304589.51,280125.32,286106.83,357120.94,573051.52,272858.77,346093.63
Human Diseases,Drug resistance: antimicrobial,ko01503,Cationic antimicrobial peptide (CAMP) resistance,195974.67,264726.2,181783.13,850913.93,367729.59,145584.19,226463.59,219189.75,256385.6,145405.8,314866.31,457315.88,215121.03,274652.54,257439.48,174692.5,285823.08,237247.65,339899.81,232839.81,363130.63,170356.85,1414234.53,525653.06,978698.51,208370.47,161131.16,296273.96,322001.28,809311.7,255849.61,193729.43
Genetic Information Processing,Replication and repair,ko03410,Base excision repair,365880.26,300906.62,293844.52,421545.54,374891.1,332800.57,301724.31,283167.53,321128.3,353130.05,459963.75,393762.73,344662.48,158883.71,294908.3,325293.12,332892.62,261269.76,329347.67,351901.16,409287.61,227162.18,602295.01,414705.76,494480.34,298859.74,298957.12,269079.03,490382.96,434479.43,270081.89,438841.29
Metabolism,Metabolism of cofactors and vitamins,ko00780,Biotin metabolism,303342.17,354021.38,312129.05,432752.74,402615.45,253547.49,300856.06,301530.8,270280.11,297783.19,459142.03,478216.13,297051.56,154680.5,326237.89,304130.27,314284.09,276743.99,388776.54,314292.06,463030.06,248587.4,631680.4,370726.6,522223.72,307279.41,270898.34,310222.93,365746.21,486232.7,321592.04,406737.03
